"","articleID","Title","short.title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"1",1,"A Meta-Analysis of Motivational Interviewing: Twenty-Five Years of Empirical Studies","ametaanalysisofmotivationalinterviewingtwentyfiveyearsofempiricalstudies","Lundahl, Brad W.; Kunz, Chelsea; Brownell, Cynthia; Tollefson, Derrik; Burke, Brian L.","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAR 2010","2010","20","2","","","","137","160","","10.1177/1049731509347850","","","117","23.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,30,37,24,0
"2",2,"Evidence-based practice: Counterarguments to objections","evidencebasedpracticecounterargumentstoobjections","Gibbs, L; Gambrill, E","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAY 2002","2002","12","3","","","","452","476","","10.1177/1049731502012003007","","","107","8.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,15,7,14,8,15,8,15,13,0
"3",3,"Core Implementation Components","coreimplementationcomponents","Fixsen, Dean L.; Blase, Karen A.; Naoom, Sandra F.; Wallace, Frances","","","","RESEARCH ON SOCIAL WORK PRACTICE","SEP 2009","2009","19","5","","","","531","540","","10.1177/1049731509335549","","","96","16.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,28,27,31,0
"4",4,"Teaching evidence-based practice: Toward a new paradigm for social work education","teachingevidencebasedpracticetowardanewparadigmforsocialworkeducation","Howard, MO; McMillen, CJ; Pollio, DE","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAR 2003","2003","13","2","","","","234","259","","10.1177/1049731502250404","","","83","6.92",0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,7,15,6,4,4,9,8,7,6,0
"5",5,"Parent-training programs in child welfare services: Planning for a more evidence-based approach to serving biological parents","parenttrainingprogramsinchildwelfareservicesplanningforamoreevidencebasedapproachtoservingbiologicalparents","Barth, RP; Landsverk, J; Chamberlain, P; Reid, JB; Rolls, JA; Hurlburt, MS; Farmer, EMZ; James, S; Mccabe, KM; Kohl, PL","","","","RESEARCH ON SOCIAL WORK PRACTICE","SEP 2005","2005","15","5","","","","353","371","","10.1177/1049731505276321","","","80","8.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,10,13,10,14,8,0
"6",6,"Evidence-based practice and policy: Choices ahead","evidencebasedpracticeandpolicychoicesahead","Gambrill, E","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAY 2006","2006","16","3","","","","338","357","","10.1177/1049731505284205","Leadership Symposium on Evidence-Based Practice in the Human Services","JUL   14, 2005","77","8.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,11,8,11,5,7,13,0
"7",7,"Housing first services for people who are homeless with co-occurring serious mental illness and substance abuse","housingfirstservicesforpeoplewhoarehomelesswithcooccurringseriousmentalillnessandsubstanceabuse","Padgett, DK; Gulcur, L; Tsemberis, S","","","","RESEARCH ON SOCIAL WORK PRACTICE","JAN 2006","2006","16","1","","","","74","83","","10.1177/1049731505282593","","","70","7.78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,9,11,12,11,12,0
"8",8,"Evaluation of evaluation studies using qualitative research methods in the social work literature (1990-2003): Evidence that constitutes a wake-up call","evaluationofevaluationstudiesusingqualitativeresearchmethodsinthesocialworkliterature19902003evidencethatconstitutesawakeupcall","Shek, DTL; Tang, VMY; Han, XY","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAY 2005","2005","15","3","","","","180","194","","10.1177/1049731504271603","","","66","6.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,16,8,16,2,9,2,2,0
"9",9,"Preventing child abuse: A meta-analysis of parent training programs","preventingchildabuseametaanalysisofparenttrainingprograms","Lundahl, BW; Nimer, J; Parsons, B","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAY 2006","2006","16","3","","","","251","262","","10.1177/1049731505284391","10th Annual Conference of the Society-for-Social-Work-and-Research","2006","65","7.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,15,10,3,11,8,0
"10",10,"Comparing the effectiveness of gender-specific and couples groups in a court-mandated spouse abuse treatment program","comparingtheeffectivenessofgenderspecificandcouplesgroupsinacourtmandatedspouseabusetreatmentprogram","Brannen, SJ; Rubin, A","","","","RESEARCH ON SOCIAL WORK PRACTICE","OCT 1996","1996","6","4","","","","405","424","","10.1177/104973159600600401","","","57","3.00",0,0,0,0,0,0,0,1,1,6,2,1,2,5,2,2,4,2,6,5,7,4,4,2,1,0
"11",11,"Assessing and changing organizational culture and climate for effective services","assessingandchangingorganizationalcultureandclimateforeffectiveservices","Glisson, Charles","","","","RESEARCH ON SOCIAL WORK PRACTICE","NOV 2007","2007","17","6","","","","736","747","","10.1177/1049731507301659","Annual Conference of the Society-for-Social-Work-and-Research","JAN, 2007","53","6.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,8,9,11,9,0
"12",12,"Translational science at the National Institute of Mental Health: Can social work take its rightful place?","translationalscienceatthenationalinstituteofmentalhealthcansocialworktakeitsrightfulplace","Brekke, John S.; Ell, Kathleen; Palinkas, Lawrence A.","","","","RESEARCH ON SOCIAL WORK PRACTICE","JAN 2007","2007","17","1","","","","123","133","","10.1177/1049731506293693","","","50","6.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,4,7,7,13,0
"13",13,"The four cornerstones of evidence-based practice in social work","thefourcornerstonesofevidencebasedpracticeinsocialwork","Gilgun, JE","","","","RESEARCH ON SOCIAL WORK PRACTICE","JAN 2005","2005","15","1","","","","52","61","","10.1177/1049731504269581","","","47","4.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,0,8,3,4,8,4,8,0
"14",14,"Clinical practice guidelines: Should social work develop them?","clinicalpracticeguidelinesshouldsocialworkdevelopthem","Howard, MO; Jenson, JM","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAY 1999","1999","9","3","","","","283","301","","","","","47","2.94",0,0,0,0,0,0,0,0,0,7,2,4,1,3,2,4,3,4,3,2,3,3,1,3,2,0
"15",15,"Measuring client engagement from the client's perspective in nonvoluntary child protective services","measuringclientengagementfromtheclientsperspectiveinnonvoluntarychildprotectiveservices","Yatchmenoff, DK","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAR 2005","2005","15","2","","","","84","96","","10.1177/1049731504271605","","","46","4.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,3,4,5,9,5,9,0
"16",16,"Development and validation of the secondary traumatic stress scale","developmentandvalidationofthesecondarytraumaticstressscale","Bride, BE; Robinson, MM; Yegidis, B; Figley, CR","","","","RESEARCH ON SOCIAL WORK PRACTICE","JAN 2004","2004","14","1","","","","27","35","","10.1177/1049731503254106","","","46","4.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,6,2,11,5,7,6,0
"17",17,"VALIDATION OF A CLINICAL MEASURE OF SELF-ESTEEM","validationofaclinicalmeasureofselfesteem","NUGENT, WR; THOMAS, JW","","","","RESEARCH ON SOCIAL WORK PRACTICE","APR 1993","1993","3","2","","","","191","207","","10.1177/104973159300300205","","","46","2.09",0,0,0,2,0,0,0,0,1,0,0,1,4,0,7,3,2,2,4,4,2,3,5,3,3,0
"18",18,"Implementing evidence-based social work practice","implementingevidencebasedsocialworkpractice","Mullen, Edward J.; Bledsoe, Sarah E.; Bellamy, Jennifer L.","","","","RESEARCH ON SOCIAL WORK PRACTICE","JUL 2008","2008","18","4","","","","325","338","","10.1177/1049731506297827","","","44","6.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,7,11,8,0
"19",19,"Adolescent substance abuse treatment: A synthesis of controlled evaluations","adolescentsubstanceabusetreatmentasynthesisofcontrolledevaluations","Vaughn, MG; Howard, MO","","","","RESEARCH ON SOCIAL WORK PRACTICE","SEP 2004","2004","14","5","","","","325","335","","10.1177/1049731504265834","","","44","4.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,10,6,2,6,3,0
"20",20,"Assessment of posttraumatic symptoms in children: Development and preliminary validation of parent and child scales","assessmentofposttraumaticsymptomsinchildrendevelopmentandpreliminaryvalidationofparentandchildscales","Greenwald, R; Rubin, A","","","","RESEARCH ON SOCIAL WORK PRACTICE","JAN 1999","1999","9","1","","","","61","75","","","","","44","2.75",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,1,12,3,5,2,5,6,0
"21",21,"RATIONALES FOR PRACTICE DECISIONS - VARIATIONS IN KNOWLEDGE USE BY DECISION TASK AND SOCIAL-WORK SERVICE","rationalesforpracticedecisionsvariationsinknowledgeusebydecisiontaskandsocialworkservice","ROSEN, A; PROCTOR, EE; MORROWHOWELL, N; STAUDT, M","","","","RESEARCH ON SOCIAL WORK PRACTICE","OCT 1995","1995","5","4","","","","501","523","","10.1177/104973159500500408","","","44","2.20",0,0,0,0,0,0,2,0,0,3,0,3,1,5,4,4,3,5,3,2,3,0,3,1,2,0
"22",22,"THE SOCIAL SUPPORT SURVEY - A VALIDATION-STUDY OF A CLINICAL MEASURE OF THE SOCIAL SUPPORT PROCESS","thesocialsupportsurveyavalidationstudyofaclinicalmeasureofthesocialsupportprocess","RICHMAN, JM; ROSENFELD, LB; HARDY, CJ","","","","RESEARCH ON SOCIAL WORK PRACTICE","JUL 1993","1993","3","3","","","","288","311","","10.1177/104973159300300304","","","44","2.00",0,0,0,0,0,1,6,4,2,2,4,1,1,1,4,1,1,1,2,1,4,1,4,0,3,0
"23",23,"Evaluating a social work engagement approach to involving inner-city children and their families in mental health care","evaluatingasocialworkengagementapproachtoinvolvinginnercitychildrenandtheirfamiliesinmentalhealthcare","McKay, MM; Nudelman, R; McCadam, K; Gonzales, J","","","","RESEARCH ON SOCIAL WORK PRACTICE","OCT 1996","1996","6","4","","","","462","472","","10.1177/104973159600600404","","","42","2.21",0,0,0,0,0,0,0,0,0,2,0,2,1,1,3,2,2,1,2,1,3,2,4,7,9,0
"24",24,"A meta-analysis of father involvement in parent training","ametaanalysisoffatherinvolvementinparenttraining","Lundahl, Brad W.; Tollefson, Derrik; Risser, Heather; Lovejoy, M. Christine","","","","RESEARCH ON SOCIAL WORK PRACTICE","MAR 2008","2008","18","2","","","","97","106","","10.1177/1049731507309828","","","41","5.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,9,9,13,0
"25",25,"THE EFFECTS OF GROUP TREATMENT FOR MEN WHO BATTER - AN 18-MONTH FOLLOW-UP-STUDY","theeffectsofgrouptreatmentformenwhobatteran18monthfollowupstudy","EDLESON, JL; SYERS, M","","","","RESEARCH ON SOCIAL WORK PRACTICE","JUL 1991","1991","1","3","","","","227","243","","10.1177/104973159100100301","","","41","1.71",0,0,1,0,1,1,3,3,4,2,2,5,2,2,2,2,2,2,2,2,3,0,0,0,0,0
"26",26,"Views of evidence-based practice among faculty in master of social work programs: A national survey","viewsofevidencebasedpracticeamongfacultyinmasterofsocialworkprogramsanationalsurvey","Rubin, Allen; Parrish, Danielle","","","","RESEARCH ON SOCIAL WORK PRACTICE","JAN 2007","2007","17","1","","","","110","122","","10.1177/1049731506293059","","","39","4.88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,4,9,3,5,4,0
"27",27,"ARE SOCIAL-WORK JOURNAL EDITORIAL-BOARDS COMPETENT - SOME DISQUIETING DATA WITH IMPLICATIONS FOR RESEARCH ON SOCIAL-WORK-PRACTICE","aresocialworkjournaleditorialboardscompetentsomedisquietingdatawithimplicationsforresearchonsocialworkpractice","PARDECK, JT","","","","RESEARCH ON SOCIAL WORK PRACTICE","OCT 1992","1992","2","4","","","","487","496","","10.1177/104973159200200405","","","39","1.70",0,0,7,3,2,3,2,1,0,1,1,2,2,1,1,5,1,2,1,2,1,0,1,0,0,0
