abstract,title,year,country,journal
"HIV/AIDS, a chronic burden in Ghana, poses social and health outcome concerns to those infected. Examining the Medical Outcome Study Social Support Survey (MOS-SSS) instrument among 300 Ghanaians from a cross-sectional design, Principal Component Analysis yielded four factors (positive interaction, trust building, information giving, and essential support), which accounted for 85.73% of the total variance in the MOS-SSS. A logistic regression analysis showed that essential support was the strongest predictor of the length of time an individual stayed in the support group, whereas positive interaction indicated negative association. The study's implications for policy, research, and practice were discussed.",Social Support and Support Groups Among People With HIV/AIDS in Ghana.,2015,NA,Soc Work Health Care
"This study examines the association between parents' resolution of their adolescent child's diagnosis of type 1 diabetes and the health and mental adjustment of the adolescents themselves. Parents of 75 adolescents with type 1 diabetes were interviewed using the Reaction to Diagnosis Interview. Parents and adolescents completed questionnaires regarding the child's physical health, self-management of the disease, and behavioral and emotional problems. Physicians reported adolescents' HbA1c levels. Results showed that adolescents whose fathers were resolved with the diagnosis exhibited better diabetes self-management and adolescents whose mothers were resolved with the diagnosis exhibited fewer internalizing and externalizing problems. The findings highlight the different role of mothers and fathers in the treatment of adolescents with diabetes and provide a basis for clinical intervention that focuses not only on adolescent health, but also on parental state of mind regarding the resolution with the disease.",Parental Resolution and the Adolescent's Health and Adjustment: The Case of Adolescents With Type 1 Diabetes.,2015,NA,Soc Work Health Care
"Having children is a growing reality for women living with HIV in Canada. It is imperative to understand and respond to women's unique experiences and psychosocial challenges during pregnancy and as mothers including HIV-related stigma. This qualitative study used a narrative methodological approach to understand women's experiences of HIV-related stigma as they navigate health services in pregnancy (nÂ =Â 66) and early postpartum (nÂ =Â 64). Narratives of women living with HIV expose the spaces where stigmatizing practices emerge as women seek perinatal care and support, as well as highlight the relationship between HIV-related stigma and disclosure, and the impact this has on women's pregnancy and birthing experiences.",NA,2015,NA,Soc Work Health Care
,Editorial Board EOV.,2015,United States,Soc Work Health Care
"The purpose of this research is to investigate various factors predicting online health information seeking for themselves (self OHIS) and online health information seeking for others (surrogate OHIS) in family caregivers to cancer survivors. To address this purpose, this study applies the comprehensive model of information seeking as a theoretical framework for explaining the relationships between various predictors and two types of OHIS. The data used in this study were taken from the Health Information National Trends Survey 4. A total of 1,113 family caregivers were included in this study. Logistic regression analyses were conducted to examine the effects of predictors on Internet use for health information seeking. Caregivers' self and surrogate OHIS were commonly predicted by their self-rated health and attention to the Internet. However, age, race, and education were significantly associated with self OHIS only, while gender and marital status were significantly associated with surrogate OHIS only. These results suggest that family caregivers' self and surrogate OHIS are predicted by common factors, as well as predicted by different specific factors.",Predictors of Self and Surrogate Online Health Information Seeking in Family Caregivers to Cancer Survivors.,2015,United States,Soc Work Health Care
"Policymakers and researchers emphasize needs for an integrated, effective, and efficient health care system to address well-documented disparities and inequities in care experienced by diverse populations. The Affordable Care Act, through its support of integrated health care, addresses social determinants of health with a goal of increasing access to care. Social work is poised to assume a central position in health care reform and integrated behavioral health, but must prepare practitioners to work alongside medical providers in health care settings. This article describes a social work field education model developed in partnership with community mental health and health care providers. The model, Integrated and Culturally Relevant Care, prepares social work students to provide behavioral health services in integrated primary care environments.",Integrated and Culturally Relevant Care: A Model to Prepare Social Workers for Primary Care Behavioral Health Practice.,2015,United States,Soc Work Health Care
"The article presents original research findings on informal financial assistance for hematological patients; that is, the gifts from family, friends, and communities that help patients cope with the financial hardship associated with cancer. The qualitative study involved interviews with 45 hematology patients that were audio-recorded, transcribed, coded, and then thematically analyzed. The findings examine the differing perspectives that individuals and families bring to the notion of informal financial aid, provide examples of individuals who require and receive informal financial assistance, and conclude with descriptions of those who require informal financial assistance but it is not available. The implications of the findings for oncology social work practice are explored.",Informal Financial Assistance for Patients With a Hematological Malignancy: Implications for Oncology Social Work Practice.,2015,United States,Soc Work Health Care
"The purpose of this study is to examine whether family characteristics and the length of children's enrollment in Migrant Head Start affects children's health treatment. Children in the Michigan Migrant Head Start were classified depending on years of enrollments: One year (nÂ =Â 638), two years (nÂ =Â 293), and three or more years (nÂ =Â 426). Logistic regression analyses were conducted to examine whether the probability of children receiving health treatment differed depending on years of enrollment. There is a higher health treatment rate among children who attended Head Start for multiple years than for those who attended for one year. Children's special needs status, of siblings, ethnicity, parental educational level, and marital status were related to preventative dental and physical health treatment outcomes. Although the primary goal of Head Start is school readiness rather than health improvement, migrant and seasonal farmworker children are likely to receive more health treatment if they attend more years of comprehensive intervention, such as Head Start, for positive physical and dental health.",The Impact of Head Start Enrollment Duration on Migrant Children's Health Outcomes.,2015,United States,Soc Work Health Care
"In 2010, the Preventable Admissions Care Team (PACT), a social work-led transitional care model, was developed at Mount Sinai to reduce 30-day readmissions among high-risk patients. PACT begins with a comprehensive bedside assessment to identify the psychosocial drivers of readmission. In partnership with the patient and family, a patient-centered action plan is developed and carried out through phone calls, accompaniments, navigations and home visits, as needed, in the first 30 days following discharge. 620 patients were enrolled during the pilot from September 2010-August 2012. Outcomes demonstrated a 43% reduction in inpatient utilization and a 54% reduction in emergency department visits among enrollees. In addition, 93% of patients had a follow-up appointment within 7-10 days of discharge and 90% of patients attended the appointment. The success of PACT has led to additional funding from the Centers for Medicare and Medicaid Services under the Community-based Care Transitions Program and several managed care companies seeking population health management interventions for high risk members.",The Preventable Admissions Care Team (PACT): A Social Work-Led Model of Transitional Care.,2015,NA,Soc Work Health Care
,Psychosocial Needs Assessment and Interventions in a Chinese Postdisaster Community.,2015,United States,Health Soc Work
