"","articleID","n_authors","coauthored","journal","hindex","pub_year","year1","year2","year3","year4","year5","total_cites","quartile"
"1",1,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,4,4,11,10,29,1
"2",2,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,1,7,7,7,10,32,1
"3",3,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,4,3,3,6,16,1
"4",4,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,1,1,2,2,2,8,1
"5",5,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,1,5,6,2,14,1
"6",6,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,1,4,5,2,12,1
"7",7,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,6,3,2,4,15,1
"8",8,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,1,2,2,3,8,1
"9",9,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,1,4,1,3,9,1
"10",10,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,2,3,2,2,3,12,1
"11",11,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,2,4,0,1,7,1
"12",12,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,1,1,1,3,2
"13",13,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,2,2,1,5,2
"14",14,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,2,0,5,2,3,12,1
"15",15,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,1,2,3,3,0,9,1
"16",16,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,1,0,2,2,5,2
"17",17,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,1,4,1,6,1
"18",18,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,2,3,3,9,1
"19",19,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,1,0,5,1,1,8,1
"20",20,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,1,2,2,5,2
"21",21,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,3,2,2,8,1
"22",22,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,1,0,3,3,1,8,1
"23",23,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,1,0,1,2,3
"24",24,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,1,2,1,4,2
"25",25,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,1,2,0,3,2
"26",26,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,0,3,3,7,1
"27",27,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,4,0,0,3,7,1
"28",28,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,2,1,2,5,2
"29",29,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,2,2,0,4,2
"30",30,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,2,2,1,6,1
"31",31,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,2,0,1,2,5,2
"32",32,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,3,3,6,1
"33",33,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,1,1,1,2,5,2
"34",34,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,2,0,2,4,2
"35",35,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,1,0,1,4
"36",36,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,1,4,5,2
"37",37,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,1,0,1,1,1,4,2
"38",38,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,1,0,2,1,4,2
"39",39,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,1,1,0,1,1,4,2
"40",40,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,1,2,0,1,0,4,2
"41",41,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,0,1,0,1,4
"42",42,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,0,1,0,1,4
"43",43,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,1,1,0,0,2,3
"44",44,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,1,1,1,0,3,2
"45",45,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,2,1,3,2
"46",46,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,1,2,3,2
"47",47,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,1,1,0,2,4,2
"48",48,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,2,2,3
"49",49,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,1,0,2,3,2
"50",50,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,2,0,2,3
"51",51,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,0,3,3,2
"52",52,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,1,0,0,3,0,4,2
"53",53,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,0,0,2,3,2
"54",54,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,1,1,1,4,2
"55",55,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,1,0,0,0,1,2,3
"56",56,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,3,3,2
"57",57,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,1,0,2,3,2
"58",58,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,1,0,1,4
"59",59,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,1,0,0,1,0,2,3
"60",60,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,0,2,0,3,2
"61",61,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,0,2,2,3
"62",62,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,1,0,1,2,3
"63",63,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,1,1,0,0,2,3
"64",64,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,0,0,4
"65",65,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,1,0,1,0,2,3
"66",66,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,0,1,1,2,3
