"","articleID","n_authors","coauthored","journal","hindex","pub_year","page_count","year0","year1","year2","year3","year4","year5","total_cites","quartile","pubMed","psycINFO"
"1",1,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,22,0,0,4,4,11,10,29,1,0,0
"2",2,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,1,7,7,7,10,32,1,0,0
"3",3,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,17,0,0,4,3,3,6,16,1,0,0
"4",4,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,1,1,2,2,2,8,1,0,0
"5",5,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,26,0,0,1,5,6,2,14,1,0,0
"6",6,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,20,0,0,1,4,5,2,12,1,0,0
"7",7,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,21,0,0,6,3,2,4,15,1,0,0
"8",8,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,21,0,0,1,2,2,3,8,1,0,0
"9",9,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,17,0,0,1,4,1,3,9,1,0,0
"10",10,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,15,0,2,3,2,2,3,12,1,0,0
"11",11,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,30,0,0,2,4,0,1,7,1,0,0
"12",12,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,27,0,0,0,1,1,1,3,3,0,0
"13",13,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,22,0,0,0,2,2,1,5,2,0,0
"14",14,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,20,0,2,0,5,2,3,12,1,0,0
"15",15,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,10,0,1,2,3,3,0,9,1,0,0
"16",16,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,15,0,0,1,0,2,2,5,2,0,0
"17",17,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,0,0,1,4,1,6,1,0,0
"18",18,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,16,0,0,1,2,3,3,9,1,0,0
"19",19,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,1,0,5,1,1,8,1,0,0
"20",20,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,33,0,0,0,1,2,2,5,2,0,0
"21",21,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,15,0,0,1,3,2,2,8,1,0,0
"22",22,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,20,0,1,0,3,3,1,8,1,0,0
"23",23,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,21,0,0,0,1,0,1,2,3,0,0
"24",24,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,14,0,0,0,1,2,1,4,2,0,0
"25",25,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,14,0,0,0,1,2,0,3,3,0,0
"26",26,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,10,0,0,1,0,3,3,7,1,0,0
"27",27,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,19,0,0,4,0,0,3,7,1,0,0
"28",28,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,15,0,0,0,2,1,2,5,2,0,0
"29",29,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,23,0,0,0,2,2,0,4,2,0,0
"30",30,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,21,0,0,1,2,2,1,6,1,0,0
"31",31,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,26,0,0,2,0,1,2,5,2,0,0
"32",32,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,18,0,0,0,0,3,3,6,1,0,0
