journal,N,coauthored,SWA_coverage,psycINFO_coverage,pubMed_coverage
ADMINISTRATION IN SOCIAL WORK,103,65,90.3,91.3,0
AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK,135,52.6,86.7,45.9,0.7
ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT,59,49.2,0,0,0
BRITISH JOURNAL OF SOCIAL WORK,359,55.2,83,86.1,0
CLINICAL SOCIAL WORK JOURNAL,149,20.8,79.2,99.3,0.7
FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,297,62.6,99.7,99.7,1.7
HEALTH & SOCIAL WORK,143,73.4,96.5,91.6,100
INDIAN JOURNAL OF SOCIAL WORK,147,38.8,19.7,0.7,0
INTERNATIONAL JOURNAL OF SOCIAL WELFARE,197,52.3,0,78.2,0
INTERNATIONAL SOCIAL WORK,286,47.6,63.6,79.7,0.7
JOURNAL OF SOCIAL WORK EDUCATION,151,76.2,21.9,76.8,1.3
JOURNAL OF SOCIAL WORK PRACTICE,126,32.5,0,100,0
RESEARCH ON SOCIAL WORK PRACTICE,263,73.8,77.6,100,4.2
SMITH COLLEGE STUDIES IN SOCIAL WORK,94,17,54.3,90.4,0
SOCIAL SERVICE REVIEW,100,69,99,78,11
SOCIAL WORK,142,56.3,97.9,91.5,0
SOCIAL WORK IN HEALTH CARE,212,70.8,72.2,95.3,98.6
SOCIAL WORK RESEARCH,103,81.6,89.3,91.3,6.8
