"","Title","Authors","Corporate.Authors","Editors","Book.Editors","Source.Title","Publication.Date","Publication.Year","Volume","Issue","Part.Number","Supplement","Special.Issue","Beginning.Page","Ending.Page","Article.Number","DOI","Conference.Title","Conference.Date","Total.Citations","Average.per.Year","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X","X.1"
"1","Stress, social support, and workers' intentions to leave their jobs in public child welfare","Nissly, JA; Barak, MEM; Levin, A","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"1",NA,"","","79","100","","10.1300/J147v29n01_06","","",60,5.45,0,0,4,4,11,10,7,8,6,5,NA,NA
"2","Burnout and turnover intention among social workers: Effects of role stress, job autonomy and social support","Kim, Hansung; Stoner, Madeleine","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"3",NA,"","","5","25","","10.1080/03643100801922357","","",56,7,0,0,0,0,1,7,7,7,10,13,NA,NA
"3","Commitment and job satisfaction as predictors of turnover intentions among welfare workers","Freund, A","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"2",NA,"","","5","21","","10.1300/J147v29n02_02","","",42,3.82,0,0,4,3,3,6,5,2,7,6,NA,NA
"4","Organizational culture and innovation in nonprofit human service organizations","Jaskyte, K; Dressler, WW","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"2",NA,"","","23","41","","10.1300/J147v29n02_03","","",35,3.18,0,1,1,2,2,2,6,5,4,7,NA,NA
"5","Improving retention among public child welfare workers: What can we learn from the insights and experiences of committed survivors?","Westbrook, Tonya M.; Ellis, Jackie; Ellett, Alberta J.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"4",NA,"","","37","62","","10.1300/J147v30n04_04","","",31,3.1,0,0,0,1,5,6,2,5,3,0,NA,NA
"6","The impact of work-family conflict on social work and human service worker job satisfaction and organizational commitment: An exploratory study","Lambert, Eric G.; Pasupuleti, Sudershan; Cluse-Tolar, Terry; Jennings, Mylo; Baker, David","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"3",NA,"","","55","74","","10.1300/J147v30n03_05","","",28,2.8,0,0,0,1,4,5,2,5,4,4,NA,NA
"7","Keeping public child welfare workers on the job","Weaver, Dale; Chang, Janet; Clark, Sherrill; Rhee, Siyon","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"2",NA,"","","5","25","","10.1300/J147v31n02_02","","",27,3,0,0,0,0,6,3,2,4,4,3,NA,NA
"8","Job characteristics and organizational predictors of psychological empowerment among paraprofessionals within human service organizations: An exploratory study","Wallach, VA; Mueller, CW","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"1",NA,"","","95","115","","10.1300/J147v30n01_06","","",19,1.9,0,0,0,1,2,2,3,2,2,3,NA,NA
"9","Social worker hope and perceived burnout: The effects of age, years in practice, and setting","Schwartz, Robert H.; Tiamiyu, Mojisola F.; Dwyer, Date J.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"4",NA,"","","103","119","","10.1300/J147v31n04_08","","",16,1.78,0,0,0,0,1,4,1,3,3,2,NA,NA
"10","The relationship between organizational characteristics and workforce turnover among rural, urban, and suburban public child welfare systems","Strolin-Goltzman, Jessica; Auerbach, Charles; McGowan, Brenda G.; McCarthy, Mary L.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"1",NA,"","","77","91","","10.1300/J147v32n01_06","","",15,1.88,0,0,0,0,2,3,2,2,3,2,NA,NA
