title,authors,n_authors,coauthored,journal,pub_year,page_count,year0,year1,year2,year3,year4,year5,total_cites,indexed_pubMed,indexed_psycINFO,indexed_SWA,cited,database_factor
The international sexual trafficking of women and children - A review of the literature,"Hodge, David R.; Lietz, Cynthia A.",2,1,AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK,2007,12,0,2,1,0,3,3,9,0,1,1,1,2
Establishing the Preliminary Validity of Spiritual Eco-Maps with Native Americans,"Hodge, David R.; Limb, Gordon E.",2,1,CLINICAL SOCIAL WORK JOURNAL,2009,12,0,2,1,0,0,0,3,0,1,1,1,2
Spiritual ecograms: A new assessment instrument for identifying clients' strengths in space and across time,"Hodge, DR",1,0,FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,2005,10,2,0,2,0,1,3,8,0,1,1,1,2
Advocating for persecuted people of faith: A social justice imperative,"Hodge, David R.",1,0,FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,2007,8,0,1,0,0,1,0,2,0,1,1,1,2
Professional Differences in Attitudes Toward and Utilization of Psychiatric Recovery,"Hardiman, Eric R.; Hodges, John Q.",2,1,FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,2008,8,0,0,0,1,0,1,2,0,1,1,1,2
Developing Spiritual Competency With Native Americans: Promoting Wellness Through Balance and Harmony,"Limb, Gordon E.; Hodge, David R.",2,1,FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,2008,8,0,3,4,3,1,1,12,0,1,1,1,2
Understanding Social Justice in Social Work: A Content Analysis of Course Syllabi,"Hong, Philip Young P.; Hodge, David R.",2,1,FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,2009,8,0,1,2,0,1,0,4,0,1,1,1,2
Developing a spiritual assessment toolbox: A discussion of the strengths and limitations of five different assessment methods,"Hodge, DK",1,0,HEALTH & SOCIAL WORK,2005,10,0,2,2,2,0,6,12,1,1,1,1,3
Advocating for the forgotten human right - Article 18 of the Universal Declaration of Human Rights - religious freedom,"Hodge, David R.",1,0,INTERNATIONAL SOCIAL WORK,2006,14,0,0,1,0,1,0,2,0,0,1,1,1
Constructing spiritually modified interventions - Cognitive therapy with diverse populations,"Hodge, David R.",1,0,INTERNATIONAL SOCIAL WORK,2008,15,0,0,1,3,2,0,6,0,1,0,1,1
Perceptions of compliance with the profession's ethical standards that address religion: A national study,"Hodge, DR",1,0,JOURNAL OF SOCIAL WORK EDUCATION,2005,17,0,0,2,1,0,0,3,0,1,0,1,1
Moving toward a more inclusive educational environment? A multi-sample exploration of religious discrimination as seen through the eyes of students from various faith traditions,"Hodge, DR",1,0,JOURNAL OF SOCIAL WORK EDUCATION,2006,19,0,0,1,1,0,1,3,0,1,0,1,1
"Spirituality, religion, and the interrelationship: A nationally representative study","Hodge, David R.; McGrew, Charlene C.",2,1,JOURNAL OF SOCIAL WORK EDUCATION,2006,18,0,0,0,0,1,0,1,0,1,0,1,1
The spiritual competence scale: A new instrument for assessing spiritual competence at the programmatic level,"Hodge, David R.",1,0,RESEARCH ON SOCIAL WORK PRACTICE,2007,9,0,0,0,1,0,2,3,0,1,0,1,1
Developing spiritual lifemaps as a culture-centered pictorial instrument for spiritual assessments with Native American clients,"Limb, Gordon E.; Hodge, David R.",2,1,RESEARCH ON SOCIAL WORK PRACTICE,2007,9,0,0,0,3,2,0,5,0,1,1,1,2
Progressing toward inclusion? Exploring the state of religious diversity,"Hodge, David R.",1,0,SOCIAL WORK RESEARCH,2007,9,1,0,0,0,2,0,3,0,1,0,1,1
"The protective influence of spiritual-religious lifestyle profiles on tobacco use, alcohol use, and gambling","Hodge, David R.; Andereck, Kathleen; Montoya, Harry",3,1,SOCIAL WORK RESEARCH,2007,9,0,0,0,2,1,4,7,0,1,0,1,1
"Spiritual lifemaps: A client-centered pictorial instrument for spiritual assessment, planning, and intervention","Hodge, DR",1,0,SOCIAL WORK,2005,11,4,2,3,1,2,3,15,0,1,1,1,2
Social work and the house of Islam: Orienting practitioners to the beliefs and values of Muslims in the United States,"Hodge, DK",1,0,SOCIAL WORK,2005,12,0,2,2,4,5,2,15,0,1,1,1,2
Social justice and people of faith: A transnational perspective,"Hodge, David R.",1,0,SOCIAL WORK,2007,10,0,0,2,1,0,1,4,0,1,1,1,2
Moving toward culturally competent practice with Muslims: Modifying cognitive therapy with Islamic tenets,"Hodge, David R.; Nadir, Aneesah",2,1,SOCIAL WORK,2008,11,0,1,1,2,1,4,9,0,1,1,1,2
Sexual trafficking in the United States: A domestic problem with transnational dimensions,"Hodge, David R.",1,0,SOCIAL WORK,2008,10,0,0,3,3,4,1,11,0,1,1,1,2
Moving from Colonization toward Balance and Harmony: A Native American Perspective on Wellness,"Hodge, David R.; Limb, Gordon E.; Cross, Terry L.",3,1,SOCIAL WORK,2009,9,0,3,2,2,3,5,15,0,1,1,1,2
