"articleID","title","authors","n_authors","coauthored","journal","hindex","pub_year","page_count","year0","year1","year2","year3","year4","year5","total_cites","quartile","indexed_pubMed","indexed_psycINFO","indexed_SWA","years_active","cited","authors_factor","database_factor"
1,"Stress, social support, and workers' intentions to leave their jobs in public child welfare","Nissly, JA; Barak, MEM; Levin, A",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,22,0,0,4,4,11,10,29,1,0,1,1,39,1,"3","2"
2,"Burnout and turnover intention among social workers: Effects of role stress, job autonomy and social support","Kim, Hansung; Stoner, Madeleine",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,1,7,7,7,10,32,1,0,1,1,39,1,"2","2"
3,"Commitment and job satisfaction as predictors of turnover intentions among welfare workers","Freund, A",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,17,0,0,4,3,3,6,16,1,0,1,1,39,1,"1","2"
4,"Organizational culture and innovation in nonprofit human service organizations","Jaskyte, K; Dressler, WW",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,1,1,2,2,2,8,1,0,1,1,39,1,"2","2"
5,"Improving retention among public child welfare workers: What can we learn from the insights and experiences of committed survivors?","Westbrook, Tonya M.; Ellis, Jackie; Ellett, Alberta J.",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,26,0,0,1,5,6,2,14,1,0,1,1,39,1,"3","2"
6,"The impact of work-family conflict on social work and human service worker job satisfaction and organizational commitment: An exploratory study","Lambert, Eric G.; Pasupuleti, Sudershan; Cluse-Tolar, Terry; Jennings, Mylo; Baker, David",5,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,20,0,0,1,4,5,2,12,1,0,1,1,39,1,"4+","2"
7,"Keeping public child welfare workers on the job","Weaver, Dale; Chang, Janet; Clark, Sherrill; Rhee, Siyon",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,21,0,0,6,3,2,4,15,1,0,1,1,39,1,"4+","2"
8,"Job characteristics and organizational predictors of psychological empowerment among paraprofessionals within human service organizations: An exploratory study","Wallach, VA; Mueller, CW",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,21,0,0,1,2,2,3,8,1,0,1,1,39,1,"2","2"
9,"Social worker hope and perceived burnout: The effects of age, years in practice, and setting","Schwartz, Robert H.; Tiamiyu, Mojisola F.; Dwyer, Date J.",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,17,0,0,1,4,1,3,9,1,0,1,1,39,1,"3","2"
10,"The relationship between organizational characteristics and workforce turnover among rural, urban, and suburban public child welfare systems","Strolin-Goltzman, Jessica; Auerbach, Charles; McGowan, Brenda G.; McCarthy, Mary L.",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,15,0,2,3,2,2,3,12,1,0,1,1,39,1,"4+","2"
11,"Evidence-based practice in the social services: Implications for organizational change","Johnson, Michelle; Austin, Michael J.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,30,0,0,2,4,0,1,7,1,0,1,1,39,1,"2","2"
12,"Understanding of Diversity and Inclusion in a Perceived Homogeneous Culture: A Study of Organizational Commitment and Job Performance Among Korean Employees","Cho, Sangmi; Barak, Michalle E. Mor",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,27,0,0,0,1,1,1,3,3,0,1,1,39,1,"2","2"
13,"Social workers' current and desired involvement in various practice activities: Explorations and implications","Koeske, GF",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,22,0,0,0,2,2,1,5,2,0,1,1,39,1,"1","2"
14,"Group Processes and Volunteering: Using Groups to Enhance Volunteerism","Haski-Leventhal, Debbie; Cnaan, Ram A.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,20,0,2,0,5,2,3,12,1,0,1,1,39,1,"2","2"
15,"Re-thinking child welfare training models to achieve evidence-based practices","Luongo, Gerardine",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,10,0,1,2,3,3,0,9,1,0,1,1,39,1,"1","2"
16,"Performance-based contracting for human services: Does it work?","Martin, LL",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,15,0,0,1,0,2,2,5,2,0,1,1,39,1,"1","2"
17,"The logic model: A tool for incorporating theory in development and evaluation of programs","Savaya, R; Waysman, M",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,0,0,1,4,1,6,1,0,1,1,39,1,"2","2"
18,"From Government to Governance: Implications for Social Work Administration","Frahm, Kathryn A.; Martin, Lawrence L.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,16,0,0,1,2,3,3,9,1,0,1,1,39,1,"2","2"
19,"Inter-agency collaboration: Policy and practice in child welfare and substance abuse treatment","Smith, Brenda D.; Mogro-Wilson, Cristina",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,1,0,5,1,1,8,1,0,0,0,39,1,"2","0"
20,"Nonprofit adaptation to performance-based, managed care contracting in Michigan's foster care system","McBeath, Bowen; Meezan, William",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,33,0,0,0,1,2,2,5,2,0,0,0,39,1,"2","0"
21,"Organizational Commitment of Social Workers: An Exploratory Study","Jaskyte, Kristina; Lee, Minhong",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,15,0,0,1,3,2,2,8,1,0,1,1,39,1,"2","2"
