page_count_manual,articleID_wos
15,33
16,111
15,113
15,117
12,120
10,121
14,143
13,147
17,159
17,179
13,195
6,197
13,198
15,199
9,214
7,216
17,219
7,224
8,227
5,228
11,230
13,232
16,239
13,240
14,241
17,242
12,243
11,244
18,245
14,246
20,247
13,248
16,249
16,250
13,251
9,252
13,253
8,254
12,255
13,256
14,257
11,258
12,259
14,260
16,261
14,262
10,263
11,264
10,265
16,266
21,267
12,268
18,269
14,270
17,271
12,272
13,273
17,274
16,275
16,276
11,277
20,278
14,279
10,280
13,281
12,282
14,283
14,284
17,285
14,286
10,287
11,288
14,289
22,290
9,291
9,292
14,293
13,294
11,295
19,296
11,297
15,314
17,316
15,336
20,337
20,339
16,341
7,344
11,677
13,690
5,721
5,735
11,855
9,941
9,1200
13,1250
19,1262
NA,1264
16,1278
14,1290
17,1303
NA,1398
11,1399
4,1401
17,1426
8,1427
13,1429
13,1430
12,1431
9,1432
6,1433
10,1436
11,1437
11,1443
10,1445
10,1449
4,1451
8,1456
10,1457
11,1459
10,1460
12,1461
11,1464
13,1466
6,1467
6,1469
14,1470
10,1476
15,1483
7,1484
10,1486
10,1495
10,1500
5,1517
4,1518
3,1519
10,1520
13,1522
10,1523
8,1526
12,1528
11,1530
4,1532
9,1534
31,1548
12,1561
10,1563
10,1564
5,1569
10,1581
17,1626
6,1696
13,1711
14,1774
13,1791
6,1817
7,1818
7,1890
8,1923
12,1924
11,1925
11,1926
14,1940
9,1949
14,1950
9,2011
10,2174
5,2430
21,2475
10,2509
21,2612
11,2692
16,2738
27,2739
21,2742
23,2743
17,2745
16,2747
15,2748
19,2750
22,2751
21,2810
12,2869
10,2925
