source_title,years_active
ADMINISTRATION IN SOCIAL WORK,39
AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK,30
ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT,25
BRITISH JOURNAL OF SOCIAL WORK,45
CLINICAL SOCIAL WORK JOURNAL,43
FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,26
HEALTH & SOCIAL WORK,40
INDIAN JOURNAL OF SOCIAL WORK,76
INTERNATIONAL JOURNAL OF SOCIAL WELFARE,24
INTERNATIONAL SOCIAL WORK,58
JOURNAL OF SOCIAL WORK EDUCATION,51
JOURNAL OF SOCIAL WORK PRACTICE,33
RESEARCH ON SOCIAL WORK PRACTICE,25
SMITH COLLEGE STUDIES IN SOCIAL WORK,86
SOCIAL SERVICE REVIEW,89
SOCIAL WORK,60
SOCIAL WORK IN HEALTH CARE,41
SOCIAL WORK RESEARCH,22
