Journal,Year,Documents
Administration in Social Work,1996,23
Administration in Social Work,1997,21
Administration in Social Work,1998,23
Administration in Social Work,1999,10
Administration in Social Work,2000,29
Administration in Social Work,2001,26
Administration in Social Work,2002,15
Administration in Social Work,2003,20
Administration in Social Work,2004,23
Administration in Social Work,2005,24
Administration in Social Work,2006,22
Administration in Social Work,2007,31
Administration in Social Work,2008,21
Administration in Social Work,2009,27
Administration in Social Work,2010,32
Administration in Social Work,2011,32
Administration in Social Work,2012,30
Administration in Social Work,2013,40
Administration in Social Work,2014,0
Administration in Social Work,2015,0
Affilia,1996,15
Affilia,1997,30
Affilia,1998,19
Affilia,1999,20
Affilia,2000,24
Affilia,2001,20
Affilia,2002,27
Affilia,2003,33
Affilia,2004,27
Affilia,2005,29
Affilia,2006,35
Affilia,2007,32
Affilia,2008,35
Affilia,2009,33
Affilia,2010,34
Affilia,2011,40
Affilia,2012,35
Affilia,2013,38
Affilia,2014,41
Affilia,2015,21
Asia Pacific Journal of Social Work & Development,1996,1
Asia Pacific Journal of Social Work & Development,1997,0
Asia Pacific Journal of Social Work & Development,1998,2
Asia Pacific Journal of Social Work & Development,1999,0
Asia Pacific Journal of Social Work & Development,2000,0
Asia Pacific Journal of Social Work & Development,2001,0
Asia Pacific Journal of Social Work & Development,2002,0
Asia Pacific Journal of Social Work & Development,2003,0
Asia Pacific Journal of Social Work & Development,2004,0
Asia Pacific Journal of Social Work & Development,2005,13
Asia Pacific Journal of Social Work & Development,2006,13
Asia Pacific Journal of Social Work & Development,2007,14
Asia Pacific Journal of Social Work & Development,2008,14
Asia Pacific Journal of Social Work & Development,2009,16
Asia Pacific Journal of Social Work & Development,2010,16
Asia Pacific Journal of Social Work & Development,2011,16
Asia Pacific Journal of Social Work & Development,2012,25
Asia Pacific Journal of Social Work & Development,2013,29
Asia Pacific Journal of Social Work & Development,2014,21
Asia Pacific Journal of Social Work & Development,2015,5
Asian Social Work & Policy Review,1996,0
Asian Social Work & Policy Review,1997,0
Asian Social Work & Policy Review,1998,0
Asian Social Work & Policy Review,1999,0
Asian Social Work & Policy Review,2000,0
Asian Social Work & Policy Review,2001,0
Asian Social Work & Policy Review,2002,0
Asian Social Work & Policy Review,2003,0
Asian Social Work & Policy Review,2004,0
Asian Social Work & Policy Review,2005,0
Asian Social Work & Policy Review,2006,0
Asian Social Work & Policy Review,2007,0
Asian Social Work & Policy Review,2008,9
Asian Social Work & Policy Review,2009,16
Asian Social Work & Policy Review,2010,11
Asian Social Work & Policy Review,2011,14
Asian Social Work & Policy Review,2012,17
Asian Social Work & Policy Review,2013,18
Asian Social Work & Policy Review,2014,18
Asian Social Work & Policy Review,2015,9
Australian Social Work,1996,0
Australian Social Work,1997,0
Australian Social Work,1998,0
Australian Social Work,1999,0
Australian Social Work,2000,0
Australian Social Work,2001,0
Australian Social Work,2002,0
Australian Social Work,2003,0
Australian Social Work,2004,0
Australian Social Work,2005,0
Australian Social Work,2006,0
Australian Social Work,2007,34
Australian Social Work,2008,29
Australian Social Work,2009,34
Australian Social Work,2010,32
Australian Social Work,2011,42
Australian Social Work,2012,45
Australian Social Work,2013,42
Australian Social Work,2014,44
Australian Social Work,2015,21
British Journal of Social Work,1996,37
British Journal of Social Work,1997,39
British Journal of Social Work,1998,49
British Journal of Social Work,1999,42
British Journal of Social Work,2000,42
British Journal of Social Work,2001,47
British Journal of Social Work,2002,69
British Journal of Social Work,2003,64
British Journal of Social Work,2004,66
British Journal of Social Work,2005,75
British Journal of Social Work,2006,82
British Journal of Social Work,2007,82
British Journal of Social Work,2008,91
British Journal of Social Work,2009,93
British Journal of Social Work,2010,151
British Journal of Social Work,2011,89
British Journal of Social Work,2012,91
British Journal of Social Work,2013,91
British Journal of Social Work,2014,140
British Journal of Social Work,2015,45
Child & Adolescent Social Work Journal,1996,30
Child & Adolescent Social Work Journal,1997,25
Child & Adolescent Social Work Journal,1998,27
Child & Adolescent Social Work Journal,1999,24
Child & Adolescent Social Work Journal,2000,24
Child & Adolescent Social Work Journal,2001,24
Child & Adolescent Social Work Journal,2002,24
Child & Adolescent Social Work Journal,2003,33
Child & Adolescent Social Work Journal,2004,39
Child & Adolescent Social Work Journal,2005,26
Child & Adolescent Social Work Journal,2006,35
Child & Adolescent Social Work Journal,2007,31
Child & Adolescent Social Work Journal,2008,34
Child & Adolescent Social Work Journal,2009,35
Child & Adolescent Social Work Journal,2010,28
Child & Adolescent Social Work Journal,2011,29
Child & Adolescent Social Work Journal,2012,30
Child & Adolescent Social Work Journal,2013,30
Child & Adolescent Social Work Journal,2014,39
Child & Adolescent Social Work Journal,2015,9
Child & Family Social Work,1996,0
Child & Family Social Work,1997,0
Child & Family Social Work,1998,0
Child & Family Social Work,1999,0
Child & Family Social Work,2000,0
Child & Family Social Work,2001,0
Child & Family Social Work,2002,30
Child & Family Social Work,2003,31
Child & Family Social Work,2004,0
Child & Family Social Work,2005,32
Child & Family Social Work,2006,36
Child & Family Social Work,2007,44
Child & Family Social Work,2008,44
Child & Family Social Work,2009,47
Child & Family Social Work,2010,47
Child & Family Social Work,2011,45
Child & Family Social Work,2012,48
Child & Family Social Work,2013,52
Child & Family Social Work,2014,47
Child & Family Social Work,2015,24
China Journal of Social Work,1996,0
China Journal of Social Work,1997,0
China Journal of Social Work,1998,0
China Journal of Social Work,1999,0
China Journal of Social Work,2000,0
China Journal of Social Work,2001,0
China Journal of Social Work,2002,0
China Journal of Social Work,2003,0
China Journal of Social Work,2004,0
China Journal of Social Work,2005,0
China Journal of Social Work,2006,0
China Journal of Social Work,2007,0
China Journal of Social Work,2008,0
China Journal of Social Work,2009,0
China Journal of Social Work,2010,23
China Journal of Social Work,2011,23
China Journal of Social Work,2012,22
China Journal of Social Work,2013,29
China Journal of Social Work,2014,25
China Journal of Social Work,2015,0
Clinical Social Work Journal,1996,27
Clinical Social Work Journal,1997,24
Clinical Social Work Journal,1998,25
Clinical Social Work Journal,1999,23
Clinical Social Work Journal,2000,25
Clinical Social Work Journal,2001,24
Clinical Social Work Journal,2002,28
Clinical Social Work Journal,2003,28
Clinical Social Work Journal,2004,27
Clinical Social Work Journal,2005,27
Clinical Social Work Journal,2006,36
Clinical Social Work Journal,2007,34
Clinical Social Work Journal,2008,41
Clinical Social Work Journal,2009,39
Clinical Social Work Journal,2010,45
Clinical Social Work Journal,2011,45
Clinical Social Work Journal,2012,47
Clinical Social Work Journal,2013,46
Clinical Social Work Journal,2014,25
Clinical Social Work Journal,2015,0
European Journal of Social Work,1996,0
European Journal of Social Work,1997,0
European Journal of Social Work,1998,0
European Journal of Social Work,1999,1
European Journal of Social Work,2000,0
European Journal of Social Work,2001,0
European Journal of Social Work,2002,0
European Journal of Social Work,2003,0
European Journal of Social Work,2004,0
European Journal of Social Work,2005,0
European Journal of Social Work,2006,0
European Journal of Social Work,2007,0
European Journal of Social Work,2008,34
European Journal of Social Work,2009,39
European Journal of Social Work,2010,35
European Journal of Social Work,2011,36
European Journal of Social Work,2012,36
European Journal of Social Work,2013,19
European Journal of Social Work,2014,31
European Journal of Social Work,2015,11
Health & Social Work,1996,38
Health & Social Work,1997,39
Health & Social Work,1998,38
Health & Social Work,1999,37
Health & Social Work,2000,33
Health & Social Work,2001,37
Health & Social Work,2002,46
Health & Social Work,2003,39
Health & Social Work,2004,40
Health & Social Work,2005,42
Health & Social Work,2006,39
Health & Social Work,2007,41
Health & Social Work,2008,36
Health & Social Work,2009,37
Health & Social Work,2010,34
Health & Social Work,2011,36
Health & Social Work,2012,25
Health & Social Work,2013,27
Health & Social Work,2014,33
Health & Social Work,2015,8
Indian Journal of Social Work,1996,35
Indian Journal of Social Work,1997,28
Indian Journal of Social Work,1998,47
Indian Journal of Social Work,1999,29
Indian Journal of Social Work,2000,34
Indian Journal of Social Work,2001,30
Indian Journal of Social Work,2002,32
Indian Journal of Social Work,2003,31
Indian Journal of Social Work,2004,20
Indian Journal of Social Work,2005,33
Indian Journal of Social Work,2006,28
Indian Journal of Social Work,2007,36
Indian Journal of Social Work,2008,37
Indian Journal of Social Work,2009,37
Indian Journal of Social Work,2010,36
Indian Journal of Social Work,2011,37
Indian Journal of Social Work,2012,38
Indian Journal of Social Work,2013,29
Indian Journal of Social Work,2014,0
Indian Journal of Social Work,2015,0
International Social Work,1996,27
International Social Work,1997,27
International Social Work,1998,32
International Social Work,1999,30
International Social Work,2000,30
International Social Work,2001,28
International Social Work,2002,31
International Social Work,2003,33
International Social Work,2004,35
International Social Work,2005,61
International Social Work,2006,68
International Social Work,2007,68
International Social Work,2008,68
International Social Work,2009,65
International Social Work,2010,56
International Social Work,2011,54
International Social Work,2012,51
International Social Work,2013,51
International Social Work,2014,65
International Social Work,2015,27
Journal of Ethnic & Cultural Diversity in Social Work,1996,0
Journal of Ethnic & Cultural Diversity in Social Work,1997,0
Journal of Ethnic & Cultural Diversity in Social Work,1998,0
Journal of Ethnic & Cultural Diversity in Social Work,1999,0
Journal of Ethnic & Cultural Diversity in Social Work,2000,0
Journal of Ethnic & Cultural Diversity in Social Work,2001,0
Journal of Ethnic & Cultural Diversity in Social Work,2002,0
Journal of Ethnic & Cultural Diversity in Social Work,2003,0
Journal of Ethnic & Cultural Diversity in Social Work,2004,0
Journal of Ethnic & Cultural Diversity in Social Work,2005,7
Journal of Ethnic & Cultural Diversity in Social Work,2006,25
Journal of Ethnic & Cultural Diversity in Social Work,2007,26
Journal of Ethnic & Cultural Diversity in Social Work,2008,20
Journal of Ethnic & Cultural Diversity in Social Work,2009,16
Journal of Ethnic & Cultural Diversity in Social Work,2010,19
Journal of Ethnic & Cultural Diversity in Social Work,2011,19
Journal of Ethnic & Cultural Diversity in Social Work,2012,18
Journal of Ethnic & Cultural Diversity in Social Work,2013,16
Journal of Ethnic & Cultural Diversity in Social Work,2014,19
Journal of Ethnic & Cultural Diversity in Social Work,2015,5
Journal of Evidence-Based Social Work,1996,0
Journal of Evidence-Based Social Work,1997,0
Journal of Evidence-Based Social Work,1998,0
Journal of Evidence-Based Social Work,1999,0
Journal of Evidence-Based Social Work,2000,0
Journal of Evidence-Based Social Work,2001,0
Journal of Evidence-Based Social Work,2002,0
Journal of Evidence-Based Social Work,2003,0
Journal of Evidence-Based Social Work,2004,0
Journal of Evidence-Based Social Work,2005,0
Journal of Evidence-Based Social Work,2006,24
Journal of Evidence-Based Social Work,2007,22
Journal of Evidence-Based Social Work,2008,26
Journal of Evidence-Based Social Work,2009,28
Journal of Evidence-Based Social Work,2010,37
Journal of Evidence-Based Social Work,2011,30
Journal of Evidence-Based Social Work,2012,35
Journal of Evidence-Based Social Work,2013,47
Journal of Evidence-Based Social Work,2014,34
Journal of Evidence-Based Social Work,2015,0
Journal of Family Social Work,1996,0
Journal of Family Social Work,1997,0
Journal of Family Social Work,1998,0
Journal of Family Social Work,1999,0
Journal of Family Social Work,2000,0
Journal of Family Social Work,2001,0
Journal of Family Social Work,2002,0
Journal of Family Social Work,2003,0
Journal of Family Social Work,2004,1
Journal of Family Social Work,2005,4
Journal of Family Social Work,2006,22
Journal of Family Social Work,2007,8
Journal of Family Social Work,2008,29
Journal of Family Social Work,2009,19
Journal of Family Social Work,2010,32
Journal of Family Social Work,2011,33
Journal of Family Social Work,2012,32
Journal of Family Social Work,2013,25
Journal of Family Social Work,2014,31
Journal of Family Social Work,2015,11
Journal of Gerontological Social Work,1996,0
Journal of Gerontological Social Work,1997,17
Journal of Gerontological Social Work,1998,1
Journal of Gerontological Social Work,1999,24
Journal of Gerontological Social Work,2000,6
Journal of Gerontological Social Work,2001,0
Journal of Gerontological Social Work,2002,0
Journal of Gerontological Social Work,2003,0
Journal of Gerontological Social Work,2004,0
Journal of Gerontological Social Work,2005,51
Journal of Gerontological Social Work,2006,56
Journal of Gerontological Social Work,2007,56
Journal of Gerontological Social Work,2008,42
Journal of Gerontological Social Work,2009,58
Journal of Gerontological Social Work,2010,51
Journal of Gerontological Social Work,2011,52
Journal of Gerontological Social Work,2012,51
Journal of Gerontological Social Work,2013,44
Journal of Gerontological Social Work,2014,54
Journal of Gerontological Social Work,2015,19
Journal of Religion & Spirituality in Social Work,1996,0
Journal of Religion & Spirituality in Social Work,1997,0
Journal of Religion & Spirituality in Social Work,1998,0
Journal of Religion & Spirituality in Social Work,1999,0
Journal of Religion & Spirituality in Social Work,2000,0
Journal of Religion & Spirituality in Social Work,2001,0
Journal of Religion & Spirituality in Social Work,2002,0
Journal of Religion & Spirituality in Social Work,2003,0
Journal of Religion & Spirituality in Social Work,2004,0
Journal of Religion & Spirituality in Social Work,2005,0
Journal of Religion & Spirituality in Social Work,2006,33
Journal of Religion & Spirituality in Social Work,2007,20
Journal of Religion & Spirituality in Social Work,2008,24
Journal of Religion & Spirituality in Social Work,2009,28
Journal of Religion & Spirituality in Social Work,2010,20
