"journal","pubYear","n","N","N.year.overall","N.percent","years_avail"
"Administration in Social Work","1989","1",17,26,65.3846153846154,4
"Administration in Social Work","1989","2",5,26,19.2307692307692,4
"Administration in Social Work","1989","3",3,26,11.5384615384615,4
"Administration in Social Work","1989","4+",1,26,3.84615384615385,4
"Administration in Social Work","1990","1",11,23,47.8260869565217,4
"Administration in Social Work","1990","2",9,23,39.1304347826087,4
"Administration in Social Work","1990","3",2,23,8.69565217391304,4
"Administration in Social Work","1990","4+",1,23,4.34782608695652,4
"Administration in Social Work","1991","1",3,8,37.5,4
"Administration in Social Work","1991","2",3,8,37.5,4
"Administration in Social Work","1991","3",1,8,12.5,4
"Administration in Social Work","1991","4+",1,8,12.5,4
"Administration in Social Work","1992","1",10,28,35.7142857142857,4
"Administration in Social Work","1992","2",14,28,50,4
"Administration in Social Work","1992","3",2,28,7.14285714285714,4
"Administration in Social Work","1992","4+",2,28,7.14285714285714,4
"Administration in Social Work","1993","1",7,20,35,4
"Administration in Social Work","1993","2",8,20,40,4
"Administration in Social Work","1993","3",4,20,20,4
"Administration in Social Work","1993","4+",1,20,5,4
"Administration in Social Work","1994","1",14,23,60.8695652173913,3
"Administration in Social Work","1994","2",6,23,26.0869565217391,3
"Administration in Social Work","1994","3",3,23,13.0434782608696,3
"Administration in Social Work","1995","1",15,23,65.2173913043478,2
"Administration in Social Work","1995","2",8,23,34.7826086956522,2
"Administration in Social Work","1996","1",15,23,65.2173913043478,3
"Administration in Social Work","1996","2",6,23,26.0869565217391,3
"Administration in Social Work","1996","3",2,23,8.69565217391304,3
"Administration in Social Work","1997","1",10,20,50,3
"Administration in Social Work","1997","2",6,20,30,3
"Administration in Social Work","1997","3",4,20,20,3
"Administration in Social Work","1998","1",15,24,62.5,3
"Administration in Social Work","1998","2",7,24,29.1666666666667,3
"Administration in Social Work","1998","3",2,24,8.33333333333333,3
"Administration in Social Work","1999","1",6,12,50,3
"Administration in Social Work","1999","2",2,12,16.6666666666667,3
"Administration in Social Work","1999","3",4,12,33.3333333333333,3
"Administration in Social Work","2000","1",18,32,56.25,3
"Administration in Social Work","2000","2",8,32,25,3
"Administration in Social Work","2000","3",6,32,18.75,3
"Administration in Social Work","2001","1",15,28,53.5714285714286,4
"Administration in Social Work","2001","2",6,28,21.4285714285714,4
"Administration in Social Work","2001","3",4,28,14.2857142857143,4
"Administration in Social Work","2001","4+",3,28,10.7142857142857,4
"Administration in Social Work","2002","1",8,17,47.0588235294118,4
"Administration in Social Work","2002","2",5,17,29.4117647058824,4
"Administration in Social Work","2002","3",3,17,17.6470588235294,4
"Administration in Social Work","2002","4+",1,17,5.88235294117647,4
"Administration in Social Work","2003","1",10,19,52.6315789473684,4
"Administration in Social Work","2003","2",6,19,31.5789473684211,4
