"id","journal","pubYear","n_authors","auth_cat"
58808,"Administration in Social Work","1989",1,"1"
58809,"Administration in Social Work","1989",1,"1"
58811,"Administration in Social Work","1989",1,"1"
58833,"Administration in Social Work","1989",1,"1"
58838,"Administration in Social Work","1989",1,"1"
58839,"Administration in Social Work","1989",2,"2"
58840,"Administration in Social Work","1989",2,"2"
58841,"Administration in Social Work","1989",3,"3"
58842,"Administration in Social Work","1989",2,"2"
58843,"Administration in Social Work","1989",1,"1"
58844,"Administration in Social Work","1989",1,"1"
58933,"Administration in Social Work","1989",1,"1"
58958,"Administration in Social Work","1989",2,"2"
58964,"Administration in Social Work","1989",1,"1"
58966,"Administration in Social Work","1989",1,"1"
58967,"Administration in Social Work","1989",4,"4+"
58968,"Administration in Social Work","1989",1,"1"
58969,"Administration in Social Work","1989",2,"2"
58971,"Administration in Social Work","1989",1,"1"
59015,"Administration in Social Work","1989",1,"1"
59019,"Administration in Social Work","1989",3,"3"
59020,"Administration in Social Work","1989",1,"1"
59021,"Administration in Social Work","1989",1,"1"
59022,"Administration in Social Work","1989",1,"1"
59023,"Administration in Social Work","1989",3,"3"
59024,"Administration in Social Work","1989",1,"1"
58192,"Administration in Social Work","1990",2,"2"
58291,"Administration in Social Work","1990",2,"2"
58292,"Administration in Social Work","1990",2,"2"
58294,"Administration in Social Work","1990",1,"1"
58295,"Administration in Social Work","1990",1,"1"
58296,"Administration in Social Work","1990",3,"3"
58297,"Administration in Social Work","1990",2,"2"
58303,"Administration in Social Work","1990",1,"1"
58307,"Administration in Social Work","1990",1,"1"
58308,"Administration in Social Work","1990",1,"1"
58310,"Administration in Social Work","1990",3,"3"
58311,"Administration in Social Work","1990",1,"1"
58312,"Administration in Social Work","1990",5,"4+"
58317,"Administration in Social Work","1990",2,"2"
58319,"Administration in Social Work","1990",1,"1"
58487,"Administration in Social Work","1990",1,"1"
58488,"Administration in Social Work","1990",1,"1"
58489,"Administration in Social Work","1990",1,"1"
58490,"Administration in Social Work","1990",2,"2"
58493,"Administration in Social Work","1990",2,"2"
58494,"Administration in Social Work","1990",2,"2"
58495,"Administration in Social Work","1990",1,"1"
58504,"Administration in Social Work","1990",2,"2"
57773,"Administration in Social Work","1991",3,"3"
57775,"Administration in Social Work","1991",2,"2"
57784,"Administration in Social Work","1991",1,"1"
57825,"Administration in Social Work","1991",1,"1"
57857,"Administration in Social Work","1991",1,"1"
57860,"Administration in Social Work","1991",2,"2"
57861,"Administration in Social Work","1991",2,"2"
57862,"Administration in Social Work","1991",4,"4+"
57347,"Administration in Social Work","1992",1,"1"
57348,"Administration in Social Work","1992",2,"2"
57349,"Administration in Social Work","1992",1,"1"
57350,"Administration in Social Work","1992",2,"2"
57351,"Administration in Social Work","1992",2,"2"
57352,"Administration in Social Work","1992",1,"1"
57353,"Administration in Social Work","1992",2,"2"
57354,"Administration in Social Work","1992",2,"2"
57355,"Administration in Social Work","1992",1,"1"
57356,"Administration in Social Work","1992",2,"2"
57377,"Administration in Social Work","1992",4,"4+"
57455,"Administration in Social Work","1992",1,"1"
57530,"Administration in Social Work","1992",6,"4+"
57552,"Administration in Social Work","1992",2,"2"
57553,"Administration in Social Work","1992",2,"2"
57554,"Administration in Social Work","1992",3,"3"
57555,"Administration in Social Work","1992",2,"2"
57556,"Administration in Social Work","1992",1,"1"
57557,"Administration in Social Work","1992",2,"2"
57558,"Administration in Social Work","1992",2,"2"
57615,"Administration in Social Work","1992",2,"2"
57641,"Administration in Social Work","1992",3,"3"
57704,"Administration in Social Work","1992",1,"1"
57705,"Administration in Social Work","1992",1,"1"
57706,"Administration in Social Work","1992",1,"1"
57708,"Administration in Social Work","1992",2,"2"
