,row.names,Year1970,Year1979
1,Administration in Social Work,2.29,22.00
2,Affilia,1.97,20.00
3,Asian Social Work & Policy Review,1.90,5.00
4,Australian Social Work,2.02,12.00
5,British Journal of Social Work,2.14,45.00
6,Child & Adolescent Social Work Journal,2.57,28.00
7,Child & Family Social Work,2.41,32.00
8,China Journal of Social Work,1.82,3.00
9,Clinical Social Work Journal,1.59,20.00
10,European Journal of Social Work,2.02,9.00
11,Families in Society,2.26,33.00
12,Health & Social Work,2.58,38.00
13,Indian Journal of Social Work,1.72,5.00
14,International Journal of Social Welfare,2.04,28.00
15,International Social Work,1.95,24.00
16,Journal of Ethnic & Cultural Diversity in Social Work,2.30,10.00
17,Journal of Evidence-Based Social Work,2.61,10.00
18,Journal of Family Social Work,2.73,9.00
19,Journal of Gerontological Social Work,2.61,21.00
20,Journal of Religion & Spirituality in Social Work,1.77,10.00
21,Journal of Social Service Research,2.53,21.00
22,Journal of Social Work,2.23,12.00
23,Journal of Social Work Education,2.41,33.00
24,Journal of Social Work in Disability & Rehabilitation,2.25,7.00
25,Journal of Social Work in End-of-Life & Palliative Care,2.50,12.00
26,Journal of Social Work Practice,1.45,16.00
27,Journal of Social Work Practice in the Addictions,2.67,10.00
28,Journal of Teaching in Social Work,2.20,9.00
29,Maatskaplike Werk,1.79,10.00
30,Psychoanalytic Social Work,1.41,3.00
31,Qualitative Social Work,1.82,12.00
32,Research on Social Work Practice,2.97,40.00
33,Smith College Studies in Social Work,1.50,14.00
34,Social Service Review,2.17,38.00
35,Social Work,1.98,49.00
36,Social Work & Social Sciences Review,1.66,6.00
37,Social Work Education,2.14,12.00
38,Social Work in Health Care,2.66,31.00
39,Social Work in Mental Health,2.69,9.00
40,Social Work in Public Health,2.49,17.00
41,Social Work Research,2.96,35.00
42,Social Work With Groups,1.99,10.00
